country,mined_raw_mat,unit,2018,2019,2020,2021,2022
Australia,Antimony,(t),2173.0,2032.0,3903.0,3380.0,2292.0
Australia,Bauxite,(t),95947593.0,107422912.0,103626811.0,103266404.0,100478354.0
Australia,Cadmium,(t),402.0,204.0,378.0,402.0,328.0
Australia,Copper,(t),914168.0,925157.0,868019.0,801052.0,826271.0
Australia,Lead,(t),446571.0,500985.0,494271.0,485487.0,437825.0
Australia,Lithium,(t),115200.0,105700.0,89300.0,113600.0,149800.0
Australia,Rare Earths,(t),18556.0,17660.0,19440.0,21970.0,17660.0
Australia,Tin,(t),6871.0,7738.0,8118.0,8772.0,9001.0
Australia,Zinc,(t),1146781.0,1337321.0,1314910.0,1315160.0,1243715.0
Australia,Gold,(kg),309700.0,325572.0,327952.0,307577.0,302642.0
Australia,Palladium,(kg),430.0,390.0,420.0,380.0,390.0
Australia,Platinum,(kg),110.0,95.0,100.0,90.0,100.0
Australia,Silver,(kg),1254480.0,1325089.0,1337344.0,1329718.0,1169252.0
Australia,Baryte,(t),6535.0,1982.0,0.0,1127.0,3922.0
Australia,Bentonite,(t),87330.0,56000.0,42713.0,46658.0,50000.0
Australia,Diam. (Gem),(ct),280160.0,243090.0,199600.0,0.0,0.0
Australia,Diam. (Ind),(ct),13727890.0,11911450.0,9780400.0,0.0,0.0
Australia,Diatomite,(t),4.0,8.0,2011.0,25935.0,26000.0
Australia,Feldspar,(t),542.0,50.0,1241.0,52.0,945.0
Australia,Gypsum,(t),4070814.0,3676467.0,3422265.0,4186021.0,4847400.0
Australia,Kaolin,(t),173738.0,114050.0,154812.0,173187.0,170181.0
Australia,Magnesite,(t),263446.0,413182.0,799203.0,893623.0,835000.0
Australia,Perlite,(t),2285.0,1264.0,2185.0,3821.0,4000.0
Australia,Phosphates,(t),195720.0,165750.0,215700.0,170.0,150.0
Australia,Potash,(t),,,,0.0,2418.0
Australia,Salt,(t),13493556.0,12173391.0,12212483.0,12574025.0,12126166.0
Australia,Sulfur,(t),900000.0,900000.0,900000.0,900000.0,900000.0
Australia,Talc,(t),130000.0,140000.0,110000.0,90000.0,111000.0
Australia,Zircon,(t),522400.0,468900.0,380000.0,569000.0,470000.0
Australia,Steam Coal,(t),266282000.0,271388000.0,267504000.0,247481000.0,249292000.0
Australia,Coking Coal,(t),183620000.0,189066000.0,183764000.0,171122000.0,168575000.0
Australia,Lignite,(t),45956000.0,43315000.0,41513000.0,41622000.0,40296000.0
Australia,Nat. Gas,(Mio m3),130987.0,154485.0,154107.0,156463.0,163112.0
