Name,Ticker / Market Capitalization,Project Stage,Commodity,Location,Website
Impact Minerals Limited,ASX: IPT - $48M (AUD),Exploration,Alumina,Australia,https://impactminerals.com.au/
IMPACT Silver Corp.,TSXV: IPT - $66M (CAD),"Production, Exploration",Silver,Mexico,https://impactsilver.com/
Ivanhoe Atlantic Inc,Private,Exploration,Iron Ore,USA,https://ivanhoeatlantic.com/
KEFI Gold and Copper plc,AIM: KEFI - $0 (GBP),"Development, Exploration","Copper, Gold","Ethiopia, Saudi Arabia",https://www.kefi-goldandcopper.com/
Kenmare Resources,LSE: KMR,Production,"Zircon , Titanium",Mozambique,https://www.kenmareresources.com/en
Kobo Resources Inc.,TSXV: KRI,Exploration,Gold,Cote d’Ivoire,https://www.koboresources.com/en
Kuniko Limited,ASX: KNI - $19M (AUD),Exploration,"Copper, Nickel, Cobalt, Lithium","Sweden, Norway",https://kuniko.eu/
LAHONTAN GOLD CORP,TSXV: LG - $14M (CAD),Exploration,"Gold, Silver","Nevada, USA",https://lahontangoldcorp.com/
Loncor Gold Inc,TSX: LN - $57M (CAD),Exploration,Gold,Democratic Republic of the Congo,https://www.loncor.com/
Mandalay Resources,TSX: MND - $237M (CAD),Production,"Gold, Antimony","Sweden, Canada, Chile",https://mandalayresources.com/
McEwen Mining Inc.,"NYSE: MUX, TSX: MUX","Exploration, Development, Production","Copper, Gold, Silver",Canada,https://mcewenmining.com/
Minera Alamos Inc.,TSXV: MAI - $136M (CAD),"Production, Development, Exploration",Gold,Mexico,https://mineraalamos.com/
Nations Royalty Corp.,TSXV: NRC - $121M (CAD),Royalty and Streaming,,Canada,https://nationsroyalty.ca/home
Nicola Mining Inc.,"TSXV: NIM - $57M (CAD), FRA: HLI","Exploration, Production","Silver, Gold, Copper",Canada,https://nicolamining.com/
Nordic Nickel,ASX: NNL - $11M (AUD),Exploration,"Nickel, Copper, Cobalt",Finland,https://nordicnickel.com/
